S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,LTP,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
308,UAIL,-,645.00,645.00,625.00,625.97,630.95,"22,063.00",648.01,625.00,"13,920,716.10",192,-22.04,20.00,-3.40,3.20,-0.80,665.07,663.12,837.30,516.00
309,UAILPO,-,382.00,382.00,382.00,382.00,160.00,"92,320.00",382.00,382.00,"14,771,200.00",1,0.00,0.00,0.00,0.00,58.12,0.00,0.00,382.00,307.00
310,UHEWA,-,790.00,790.00,750.00,752.81,756.51,"20,695.00",805.55,750.00,"15,655,904.10",127,-52.74,40.00,-6.55,5.33,-0.49,713.80,649.59,993.40,338.40
311,ULBSL,-,"3,700.00","3,700.00","3,349.10","3,693.58","3,504.95","8,856.00","3,692.60","3,699.00","31,039,878.50",134,0.98,350.90,0.03,10.48,5.11,"3,815.82","3,383.99","6,600.00","1,200.00"
312,ULHC,-,502.00,519.90,496.00,499.64,502.26,"32,116.00",512.10,502.00,"16,130,741.20",195,-12.46,23.90,-2.43,4.82,-0.53,495.21,466.85,693.00,306.10
313,UMHL,-,452.10,452.10,431.50,437.60,436.90,"396,979.00",443.28,437.40,"173,439,698.30",982,-5.68,20.60,-1.28,4.77,0.16,352.07,332.26,474.00,223.10
314,UMRH,-,637.80,637.90,586.10,587.62,604.67,"19,875.00",626.85,589.50,"12,017,909.40",196,-39.23,51.80,-6.26,8.84,-2.90,599.82,556.28,790.00,325.00
315,UNHPL,-,301.50,309.90,294.00,294.36,296.88,"74,846.00",307.25,294.90,"22,220,587.80",290,-12.89,15.90,-4.20,5.41,-0.86,300.56,291.46,371.00,212.60
316,UNL,-,"45,600.00","46,200.00","45,600.00","46,200.00","45,966.67",30.00,"46,500.00","46,200.00","1,379,000.00",3,-300.00,600.00,-0.65,1.32,0.51,"47,432.44","47,662.62","56,805.80","38,400.00"
317,UNLB,-,"2,290.00","2,290.00","2,191.10","2,201.44","2,219.01","3,567.00","2,294.09","2,232.00","7,915,191.40",82,-92.65,98.90,-4.04,4.51,-0.80,"2,586.50","2,480.44","3,223.00","1,480.50"
318,UPCL,-,284.00,287.00,277.50,278.13,280.18,"115,241.00",288.77,278.00,"32,288,669.80",463,-10.64,9.50,-3.68,3.42,-0.74,283.48,270.83,345.00,183.00
319,UPPER,-,198.20,201.00,198.00,198.17,198.87,"139,815.00",201.84,198.20,"27,804,718.70",686,-3.67,3.00,-1.82,1.52,-0.35,209.88,207.11,295.00,152.10
320,USHEC,-,590.00,596.00,563.50,579.84,574.86,"13,898.00",592.07,596.00,"7,989,459.10",157,-12.23,32.50,-2.07,5.77,0.86,606.53,575.96,752.00,344.00
321,USHL,-,770.00,770.00,725.00,725.02,733.94,"3,730.00",755.01,725.00,"2,737,593.00",55,-29.99,45.00,-3.97,6.21,-1.23,801.23,737.60,961.00,450.00
322,USLB,-,"1,670.00","1,684.00","1,615.00","1,622.68","1,653.00","3,351.00","1,685.00","1,634.00","5,539,215.60",65,-62.32,69.00,-3.70,4.27,-1.87,"1,606.84","1,646.08","2,363.30","1,320.00"
323,VLBS,-,825.00,825.00,800.00,821.29,812.61,"1,841.00",840.78,823.00,"1,496,008.10",32,-19.49,25.00,-2.32,3.13,1.06,887.50,930.67,"1,174.00",653.70
324,VLUCL,-,675.00,675.00,649.10,651.02,653.74,"14,845.00",674.58,654.00,"9,704,803.50",155,-23.56,25.90,-3.49,3.99,-0.42,677.43,652.68,816.00,445.10
325,WNLB,-,"3,095.80","3,100.00","2,900.00","2,902.68","2,989.08","1,806.00","3,112.10","2,900.00","5,398,287.10",58,-209.42,200.00,-6.73,6.90,-2.98,"2,818.94","2,413.25","4,271.00","1,039.80"
