S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
146,MBJC,41.32,322.90,325.00,312.00,320.00,320.00,0.00,0.00,318.43,"164,848.00",320.00,"52,492,185.40",920,0.00,13.00,0.00,4.17,0.49,290.88,300.30,371.00,270.00
147,MBL,46.27,271.90,280.00,264.00,276.00,276.00,0.00,0.00,273.44,"957,510.00",266.60,"261,817,057.60","1,664",9.40,16.00,3.53,6.06,0.93,226.81,230.36,280.00,205.00
148,MBLD87,48.29,"1,128.00","1,128.00","1,128.00","1,128.00","1,128.00",0.00,0.00,"1,128.00",430.00,"1,106.00","485,040.00",4,22.00,0.00,1.99,0.00,0.00,"1,058.13","1,025.71","1,169.00","1,021.00"
149,MBLEF,30.16,10.33,10.53,10.33,10.41,10.41,0.00,0.00,10.35,"26,750.00",10.32,"276,794.50",48,0.09,0.20,0.87,1.94,0.60,9.43,9.33,10.69,8.59
150,MCHL,36.93,434.40,434.40,421.50,427.00,427.00,0.00,0.00,425.64,"10,822.00",426.00,"4,606,291.80",120,1.00,12.90,0.23,3.06,0.32,467.04,493.30,641.00,392.00
151,MDB,38.67,675.00,675.00,663.00,666.00,666.00,0.00,0.00,667.98,"49,542.00",666.00,"33,092,919.00",189,0.00,12.00,0.00,1.81,-0.30,602.66,608.70,729.70,530.50
152,MEHL,34.15,488.00,488.00,464.00,472.00,472.00,0.00,0.00,470.82,"42,956.00",480.00,"20,224,583.30",312,-8.00,24.00,-1.67,5.17,0.25,436.56,438.27,582.00,372.40
153,MEL,43.91,311.00,311.00,300.00,302.10,302.10,0.00,0.00,303.92,"82,554.00",307.00,"25,089,907.30",599,-4.90,11.00,-1.60,3.67,-0.60,284.97,293.35,350.00,255.00
154,MEN,39.08,639.50,647.60,623.10,630.00,630.00,0.00,0.00,628.49,"82,732.00",629.00,"51,995,905.10",419,1.00,24.50,0.16,3.93,0.24,604.51,608.30,683.40,535.00
155,MERO,51.08,759.90,802.00,756.00,795.00,795.00,0.00,0.00,786.50,"62,352.00",745.00,"49,039,636.30",616,50.00,46.00,6.71,6.08,1.07,765.16,779.52,"1,000.00",668.00
156,MFIL,38.57,838.00,861.20,838.00,851.90,851.90,0.00,0.00,848.82,"332,480.00",854.00,"282,215,531.60",788,-2.10,23.20,-0.25,2.77,0.36,698.34,676.24,918.00,545.00
